no;title;rating_avg;rating_total;year
500;Aurore;85.3;554;2005
501;Smrtonosná past 2;83.5;38238;1990
502;Walk the Line;83.6;25385;2005
503;Hledání Země Nezemě;83.5;23741;2004
504;Amores perros - Láska je kurva;83.5;21964;2000
505;Mrtvý muž;83.6;16684;1995
506;Misery nechce zemřít;83.5;14787;1990
507;Petrolejové lampy;83.6;8406;1971
508;Sedím na konári a je mi dobre;83.6;7037;1989
509;Control;83.7;6032;2007
510;S láskou Vincent;83.6;5347;2017
511;Jeremiah Johnson;83.7;4336;1972
512;Jako zabít ptáčka;83.7;3765;1962
513;Metro Manila;83.8;3226;2013
514;Silnice;83.8;3023;1954
515;Mzda strachu;83.8;2821;1953
516;Džúbei a umění nindžucu;83.9;2297;1993
517;Kdo to tam zpívá;84.3;1226;1980
518;Vlk z Wall Street;83.4;66478;2013
519;Hacksaw Ridge: Zrození hrdiny;83.5;29552;2016
520;Návrat do Cold Mountain;83.4;25632;2003
521;Černá kočka, bílý kocour;83.5;15505;1998
522;Pro hrst dolarů;83.5;13523;1964
523;Ghost in the Shell;83.5;8617;1995
524;Dotek Medúzy;83.5;6934;1978
525;Jesus Christ Superstar;83.5;5100;1973
526;Volání divočiny;83.7;3883;1966
527;Na Zlatém jezeře;83.7;2595;1981
528;Ghost in the Shell 2.0;83.8;2324;2008
529;Mother and Child;83.8;2315;2009
530;Boxer a smrť;83.9;1723;1962
531;Berserk: Ógon džidai hen II – Doldrey kórjaku;84.0;1684;2012
532;Kinoautomat: Člověk a jeho dům;84.2;1182;1967
533;Díra;84.4;946;1960
534;Obchod za rohem;84.5;847;1940
535;Jsem uprchlý galejník;86.0;367;1932
536;Georges Bizet: Carmen;87.2;244;1984
537;Big Lebowski;83.3;47108;1998
538;Ti druzí;83.4;34954;2001
539;Šíleně smutná princezna;83.3;32700;1968
540;Moulin Rouge;83.4;30845;2001
541;Základní instinkt;83.3;26244;1992
542;Dálnice 60;83.3;17272;2002
543;Opustit Las Vegas;83.4;10755;1995
544;Stalker;83.4;10252;1979
545;Růžový panter znovu zasahuje;83.4;9151;1976
546;Hotel Mumbai;83.5;5751;2018
547;Arrietty ze světa půjčovníčků;83.5;4798;2010
548;Něco z Alenky;83.6;3448;1988
549;Návrat;83.6;3307;2003
550;Smrtící bumerang;83.6;3087;1996
551;Kaktusový květ;83.7;2976;1969
552;Mastičkář;83.8;1883;1981
553;Žít;83.9;1589;1952
554;Vozka smrti;83.9;1553;1921
555;Zavěste červené lucerny;84.0;1390;1991
556;Člověk z mramoru;84.1;1136;1977
557;Vojna a mír IV: Pierre Bezuchov;84.5;764;1967
558;Být či nebýt;84.7;711;1942
559;Huo zhe;84.7;676;1994
560;Jak utopit Dr. Mráčka aneb Konec vodníků v Čechách;83.2;37126;1974
561;Vinnetou - Poslední výstřel;83.2;18898;1965
562;Černý Petr;83.3;9518;1963
563;Vše o mé matce;83.3;7998;1999
564;Jih proti Severu;83.4;5598;1939
565;Adelheid;83.4;5325;1969
566;Americká noc;83.5;3152;1973
567;Raz, dva, tři;83.7;2122;1961
568;Pramen panny;83.7;1977;1960
569;Stalag 17;83.8;1474;1953
570;Chladnokrevně;84.0;1168;1967
571;Jagna;84.0;1126;2023
572;Barva ráje;84.3;830;1999
573;Pátá pečeť;85.8;364;1976
574;Korunní svědek;87.0;243;1959
575;Na nože;83.1;30221;2019
576;Pokání;83.2;29034;2007
577;Muži, kteří nenávidí ženy;83.1;24907;2009
578;Válka Roseových;83.2;22038;1989
579;Magnolia;83.1;19465;1999
580;Nejvyšší nabídka;83.1;18332;2013
581;Přichází Satan!;83.2;10057;1976
582;Hana a její sestry;83.3;4945;1986
583;Na východ od ráje;83.4;3859;1955
584;Tři zločinci ve skryté pevnosti;83.6;1762;1958
585;Mefisto;83.6;1738;1981
586;Červené střevíčky;84.1;893;1948
587;Zapomenutí;84.4;772;1950
588;Bouřlivá dvacátá léta;84.8;569;1939
589;La traviata;88.5;174;1982
590;Harry Potter a Relikvie smrti - část 2;83.1;73430;2011
591;Shrek 2;83.0;66926;2004
592;Marťan;83.0;52620;2015
593;Saw: Hra o přežití;83.0;50090;2004
594;E.T. - Mimozemšťan;83.0;40188;1982
595;Fantomas se zlobí;83.0;23888;1965
596;Magická hlubina;83.1;10498;1988
597;(Ne)obyčejný kluk;83.1;10108;2017
598;Rytíři spravedlnosti;83.1;9721;2020
599;Vampire Hunter D;83.1;6178;2000
600;Kočár do Vídně;83.2;4990;1966
601;Hombre;83.2;4722;1967
602;Persona;83.3;3761;1966
603;V žáru noci;83.2;3373;1967
604;Zahraj to znovu, Same;83.3;2972;1972
605;Kabaret;83.3;2641;1972
606;Ďáblova past;83.4;2362;1961
607;Návrat domů;83.5;1948;1978
608;Co se vlastně stalo s Baby Jane?;83.5;1742;1962
609;Zootropolis: Město zvířat 2;83.5;1731;2025
610;Podzimní sonáta;83.5;1605;1978
611;Ruróni Kenšin: Meidži kenkaku rómantan – Cuioku hen;84.1;810;1999
612;Bílé peklo;85.9;322;1929
613;Gone, Baby, Gone;83.0;25093;2007
614;Gattaca;82.9;22070;1997
615;Naprostí cizinci;83.0;13950;2016
616;Lásky jedné plavovlásky;83.0;13726;1965
617;Adamova jablka;83.0;12257;2005
618;Kluci nepláčou;82.9;11503;1999
619;Příběh Alvina Straighta;83.0;8817;1999
620;Země nikoho;83.0;5994;2001
621;Krakatit;83.1;5795;1948
622;Nebe nad Berlínem;83.1;5684;1987
623;Soumrak dne;83.1;5244;1993
624;Amarcord;83.1;4172;1973
625;Underground;83.1;3936;1995
626;Cyrano z Bergeracu;83.2;2552;1990
627;Evropa, Evropa;83.4;2161;1990
628;Chi bi xia: Jue zhan tian xia;83.3;2156;2009
629;Pohraniční pásmo;83.4;1980;2000
630;Dům k pověšení;83.4;1870;1988
631;Waterloo;83.4;1646;1970
632;Soumrak;83.5;1509;2002
633;Hilary a Jackie;83.6;1326;1998
634;Ubožáci;83.7;1268;1982
635;Babka;84.0;861;2003
636;Satanské tango;84.0;805;1994
637;Keurosing;84.3;650;2008
638;Avatar;82.8;100962;2009
639;Indiana Jones a Chrám zkázy;82.8;50555;1984
640;Auta;82.8;49363;2006
641;Krotitelé duchů;82.8;37759;1984
642;Zápisník jedné lásky;82.8;31464;2004
643;Souboj Titánů;82.9;27239;1981
644;Sully: Zázrak na řece Hudson;82.8;26535;2016
645;Maverick;82.9;24222;1994
646;Lovec jelenů;82.8;12727;1978
647;Bílá paní;82.9;8644;1965
648;Půlnoční kovboj;83.0;6900;1969
649;Elitní jednotka 2: Vnitřní nepřítel;82.9;5857;2010
650;Poslední mohykán;83.0;5488;1947
651;Rozchod Nadera a Simin;83.0;4243;2011
652;Brendan a tajemství Kellsu;83.0;4036;2009
653;Krátký film o zabíjení;83.2;2297;1987
654;Pod vlivem lásky;83.2;2152;2008
655;Svědomí;83.4;1403;1948
656;Tisíc dnů s Annou;83.4;1345;1969
657;Papírový měsíc;83.5;1332;1973
658;Prožít si své peklo;83.5;1266;1977
659;Jdi, žij a někým se staň;83.5;1202;2005
660;K smrti odsouzený uprchl;83.5;1180;1956
661;Maminčin zámek;83.8;938;1990
662;Maraton;83.8;924;2005
663;Kimi no suizó o tabetai;84.2;666;2018
664;Pelle Dobyvatel;84.6;499;1987
665;Avengers;82.7;72050;2012
666;Dannyho parťáci;82.8;57020;2001
667;Ospalá díra;82.7;53602;1999
668;Rocky IV;82.7;35067;1985
669;Kokain;82.7;34974;2001
670;Černí baroni;82.7;31745;1992
671;Smrtonosná zbraň 3;82.7;27121;1992
672;Ghost Dog - Cesta samuraje;82.7;14766;1999
673;Wallace & Gromit: Prokletí králíkodlaka;82.7;12121;2005
674;Volání o pomoc;82.8;12073;2007
675;F1;82.8;11722;2025
676;Asterix a Kleopatra;82.8;11151;1968
677;Vyvolávač deště;82.8;9460;1997
678;Občan Kane;82.8;8850;1941
679;Star Trek VIII: První kontakt;82.8;7604;1996
680;Poslední pokušení Krista;82.9;6487;1988
681;Roztomilý člověk;82.9;5902;1941
682;Na kometě;82.9;5765;1970
683;Perný den;82.9;5627;1964
684;Mistrův syn;82.9;5181;1978
685;Cena za něžnost;82.9;4516;1983
686;V písku - Příslib svobody;82.9;4427;2015
687;Křižník Potěmkin;82.9;4137;1925
688;Šaráda;82.9;3830;1963
689;Mimo zákon;83.0;3665;1986
690;Ghost in the Shell 2: Innocence;83.0;3482;2004
691;Koně se také střílejí;83.0;2692;1969
692;Příští rok ve stejnou dobu;83.0;2659;1978
693;Život v oblouznění;83.1;2349;1995
694;Záře;83.1;2311;1996
695;Kafarnaum;83.2;1826;2018
696;Vše o Evě;83.3;1562;1950
697;Bohémský život;83.3;1459;1992
698;Polnočná omša;83.6;1059;1962
699;Kókaku kidótai: Stand Alone Complex - Solid State Society;83.6;1009;2006
700;Werckmeisterovy harmonie;83.6;932;2000
701;Pan Verdoux;83.8;866;1947
702;Země zaslíbená;84.3;566;1974
703;Casino Royale;82.6;53686;2006
704;Oppenheimer;82.6;28620;2023
705;Křidýlko nebo stehýnko;82.6;20395;1976
706;Je třeba zabít Sekala;82.7;14078;1998
707;Elitní jednotka;82.7;11665;2007
708;Ip Man 2;82.7;10758;2010
709;Piano;82.7;8843;1993
710;Jdi a dívej se;82.8;5917;1985
711;Tisícročná včela;82.8;5422;1983
712;Provaz;82.9;3958;1948
713;Porco Rosso;82.9;3825;1992
714;Slídil;83.2;1674;1972
715;Králův dvojník;83.5;971;2012
716;Dětské tváře;90.3;116;1925
717;Strážci Galaxie;82.5;57161;2014
718;Toy Story 3: Příběh hraček;82.6;33267;2010
719;Dařbuján a Pandrhola;82.5;27683;1959
720;Cesta do zatracení;82.5;26591;2002
721;Ostře sledované vlaky;82.6;23157;1966
722;Bláznivá střela 2 a 1/2: Vůně strachu;82.5;22238;1991
723;Aladin;82.6;12157;1992
724;Pošetilost mocných;82.6;11967;1971
725;Monty Pythonův smysl života;82.6;11335;1983
726;Dogville;82.6;10588;2003
727;Tři dny Kondora;82.6;9769;1975
728;Bosé nohy v parku;82.6;4935;1967
729;Bizarre Girl;82.7;4548;2001
730;Slavíci v kleci;82.7;4197;2004
731;Hrabě Monte Christo;82.9;2642;1954
732;Zjizvená tvář;83.0;1836;1932
733;Šťastný Luke;83.1;1569;1971
734;Berserk: Ógon džidai hen III – Kórin;83.0;1553;2013
735;Pokání;83.3;1208;1984
736;Bitva o Alžír;83.2;1151;1966
737;Bílý žár;83.5;954;1949
738;Stalo se za bílého dne;83.6;807;1958
739;Špalíček;84.4;458;1947
740;Milionář z chatrče;82.4;51901;2008
741;„Pane, vy jste vdova!“;82.4;21528;1970
742;Rozum a cit;82.5;13544;1995
743;Rosemary má děťátko;82.5;13236;1968
744;Příliš vzdálený most;82.5;7134;1977
745;O dívce, která proskočila časem;82.6;4261;2006
746;...a spravedlnost pro všechny;82.7;3371;1979
747;Horalka;82.7;3151;1960
748;Vražedná pole;82.7;3132;1984
749;Neviditelný muž;82.8;2104;1933
750;Stalo se jedné noci;82.8;2032;1934
751;Starý dům uprostřed Madridu;83.2;1012;1976
752;Zakázané hry;83.7;690;1952
753;Sbohem, má konkubíno;83.7;653;1993
754;Unavená smrt;84.3;473;1921
755;Minority Report;82.3;48001;2002
756;X-Men: Budoucí minulost;82.3;39376;2014
757;Nepřítel před branami;82.3;38958;2001
758;Kód Enigmy;82.4;37056;2014
759;Ed Wood;82.4;15819;1994
760;Traffic - Nadvláda gangů;82.3;14394;2000
761;Všichni moji blízcí;82.4;9032;1999
762;Veřejný nepřítel č. 1: Epilog;82.4;8983;2008
763;Chaplin;82.4;7320;1992
764;Manhattan;82.5;5291;1979
765;Smoke;82.5;4885;1995
766;Po svatbě;82.5;4140;2006
767;Cizinci ve vlaku;82.5;3739;1951
768;Zločiny a poklesky;82.6;2930;1989
769;Hamlet;82.6;2463;1996
770;Pěst legendy;82.7;2004;1994
771;Glory;82.9;1485;2016
772;Oběť;83.0;1435;1986
773;Píseň za chudého chlapce;83.0;1372;2003
774;Ima, ai ni jukimasu;83.1;1101;2004
775;Dědička;83.6;701;1949
776;Císařův slavík;84.0;546;1948
777;Marie-Octobre;85.3;302;1959
778;Edison;90.4;110;1940
779;Já, robot;82.3;64060;2004
780;Trosečník;82.2;60545;2000
781;X-Men 2;82.2;47296;2003
782;Zrození Planety opic;82.2;42849;2011
783;Tahle země není pro starý;82.2;39374;2007
784;Náš vůdce;82.2;20373;2008
785;Krycí jméno Donnie Brasco;82.3;17905;1997
786;Karamazovi;82.2;13532;2008
787;Braindead - Živí mrtví;82.2;12449;1992
788;Duše;82.3;11533;2020
789;Legenda o slavném návratu;82.3;10814;2000
790;Před úsvitem;82.3;9755;1995
791;Francouzská spojka;82.3;7965;1971
792;Na pokraji slávy;82.3;7643;2000
793;Legenda o opilém Mistrovi;82.3;7192;1994
794;Všichni prezidentovi muži;82.3;6850;1976
795;Skafandr a motýl;82.3;6138;2007
796;Balón;82.4;4151;2018
797;Mňága - Happy End;82.5;3732;1996
798;Svatý rok;82.4;3600;1976
799;A teď něco úplně jiného;82.5;2701;1971
800;Země dinosaurů;82.5;2529;1988
801;Daft Punk & Leiji Matsumoto's Interstella 5555: The 5tory of the 5ecret 5tar 5ystem;82.7;1697;2003
802;Jeřábi táhnou;82.7;1540;1957
803;Země;83.1;945;1996
804;Frigo, oběť krevní msty;83.9;523;1923
805;Šarlatová ulice;83.9;509;1945
806;S tebou mě baví svět;82.1;44708;1982
807;Osm hrozných;82.1;43918;2015
808;V zajetí démonů;82.1;37568;2013
809;Klub poslední naděje;82.1;21930;2013
810;Divoké historky;82.2;21477;2014
811;Propast;82.1;20899;1989
812;Spotlight;82.2;17643;2015
813;Kam se poděla sedmá rota?;82.2;10930;1973
814;Obávaný bojovník;82.2;10533;2006
815;Muž, který nebyl;82.2;10143;2001
816;Kam orli nelétají;82.3;6794;1968
817;Kundun;82.3;6451;1997
818;Baader Meinhof Komplex;82.3;6427;2008
819;Bambi;82.3;5332;1942
820;Ronja, dcera loupežníka;82.3;4392;1984
821;Killer;82.3;3639;1989
822;Africká Královna;82.4;3549;1951
823;Perfect Blue;82.4;2569;1997
824;Neuvěřitelný zmenšující se muž;82.8;1277;1957
825;Most;82.8;1275;1959
826;Hosté večeře Páně;82.9;1203;1963
827;Hanba;83.1;942;1968
828;Zvláštní den;83.1;847;1977
829;Sbohem, pane profesore!;83.7;554;1969
830;Iron Man;82.0;75980;2008
831;District 9;82.0;47633;2009
832;Modrý samet;82.0;13196;1986
833;Animatrix;82.1;11114;2003
834;Anton Špelec, ostrostřelec;82.1;10417;1932
835;Vrah skrývá tvář;82.1;6174;1966
836;Valentin Dobrotivý;82.2;5015;1942
837;Půlnoční expres;82.2;5004;1978
838;Méďa Béďa;82.2;4365;1964
839;Zkrocení zlé ženy;82.3;3439;1967
840;Divoká planeta;82.3;2627;1973
841;Smuteční slavnost;82.5;1663;1969
842;Grand Prix;82.7;1213;1966
843;Tatínkova sláva;82.7;1129;1990
844;Vojna a mír I: Andrej Bolkonskij;82.8;1046;1965
845;Anatomie vraždy;82.8;1021;1959
846;Sen noci svatojánské;82.9;965;1959
847;Pouto nejsilnější;83.1;809;1945
848;Slovo;83.7;491;1955
849;Srdce je osamělý lovec;84.4;365;1968
850;Valkýra;81.9;37594;2008
851;Duna;81.9;35811;2021
852;Štěstí na dosah;82.0;21104;2006
853;Je to i můj život;82.0;17895;2009
854;Tootsie;82.0;14893;1982
855;Old Boy;81.9;13971;2003
856;Chlast;82.0;13215;2020
857;Bezva finta;82.0;12993;1985
858;Lost Highway;82.0;12959;1997
859;Život Davida Galea;81.9;11561;2003
860;Americký zločin;81.9;10330;2007
861;Uprchlíci;82.1;6336;1986
862;Hrabě Monte Christo;82.1;4399;2024
863;Tři barvy: Modrá;82.1;4360;1993
864;Jmenuji se Khan;82.1;3705;2010
865;Stíny horkého léta;82.2;3680;1977
866;Romeo, Julie a tma;82.2;2902;1959
867;Zrůdy;82.2;2711;1932
868;Chi bi;82.3;2433;2008
869;Berserk: Ógon džidai hen I – Haó no tamago;82.3;1813;2012
870;Rosencrantz a Guildenstern jsou mrtvi;82.4;1627;1990
871;Rocco a jeho bratři;82.5;1407;1960
872;Ztracený víkend;82.5;1328;1945
873;Kes;82.9;876;1969
874;Balada o Narajamě;82.9;832;1983
875;Vojna a mír II: Nataša Rostovová;83.0;810;1966
876;Tatami;83.0;782;2023
877;Skryté ostří;83.1;730;2004
878;X-Men;81.8;55842;2000
879;Pomáda;81.8;36979;1978
880;Total Recall;81.8;35331;1990
881;Pýcha a předsudek;81.9;33009;2005
882;Pyšná princezna;81.8;28233;1952
883;Mulholland Drive;81.8;21688;2001
884;Prvotní strach;81.8;14773;1996
885;Černá kniha;81.8;11090;2006
886;Guy Ritchie: Pouto;81.9;9338;2023
887;Mluv s ní;81.9;8673;2002
888;Velký bazar;81.9;7074;1973
889;Psí odpoledne;81.9;6154;1975
890;36. komnata Shaolinu;82.0;5312;1978
891;Dumbo;82.0;4795;1941
892;4 měsíce, 3 týdny a 2 dny;82.0;4112;2007
893;Kukačka;82.0;3655;2002
894;El Dorado;82.0;3163;1966
895;Tři mušketýři: Královniny přívěsky;82.1;3138;1961
896;Jánošík;82.1;2566;1963
897;All That Jazz;82.2;2186;1979
898;Krvavý trůn;82.2;2088;1957
899;Viridiana;82.3;1669;1961
900;Anděl zkázy;82.3;1646;1962
901;Keulraesik;82.5;1311;2003
902;Potopa;82.7;973;1974
903;Vlk samotář a mládě 2: Řeka smrti;83.3;603;1972
904;Deník Anny Frankové;83.5;527;1959
905;Kingsman: Tajná služba;81.7;47133;2014
906;Dívka na koštěti;81.8;41341;1971
907;Vzhůru do oblak;81.7;40266;2009
908;Velká šestka;81.8;23208;2014
909;Policajt v Beverly Hills;81.8;22406;1984
910;Master & Commander: Odvrácená strana světa;81.7;21129;2003
911;Lovci hlav;81.8;17233;2011
912;Princ Egyptský;81.8;11597;1998
913;Hrdinové ohně;81.8;9985;2017
914;Před soumrakem;81.8;8982;2004
915;Spartakus;81.8;8382;1960
916;Mravnost nade vše;81.9;6758;1937
917;Kačeří příběhy: Poklad ze ztracené lampy;81.9;4229;1990
918;Hard Boiled;81.9;4155;1992
919;V rytmu srdce;81.9;3725;2021
920;Mastičkář;82.1;2656;2023
921;Klér;82.1;2413;2018
922;Brankář;82.2;1793;2018
923;Fitzcarraldo;82.2;1608;1982
924;Žízeň po životě;82.3;1377;1956
925;Zázrak v New Yorku;82.5;1090;1947
926;Strom na dřeváky;83.0;668;1978
927;Dny vína a růží;83.1;618;1962
928;Vlk samotář a mládě 3: Proti vichru smrti;83.4;528;1972
929;Malý svět dona Camilla;83.9;391;1952
930;On, hrdina dne;84.8;277;1927
931;After the Thin Man;87.0;159;1936
932;Karlík a továrna na čokoládu;81.6;77070;2005
933;Thor: Ragnarok;81.6;39960;2017
934;V Bruggách;81.6;38001;2008
935;Ať žijí duchové!;81.6;37748;1977
936;V hlavě;81.6;36900;2015
937;Ten, kdo stojí v koutě;81.6;26693;2012
938;Pád Třetí říše;81.6;24743;2004
939;Raubíř Ralf;81.6;22440;2012
940;Taxikář;81.6;21406;1976
941;Má mě rád, nemá mě rád;81.6;18482;2010
942;Záměna;81.6;16587;1983
943;Marketa Lazarová;81.7;8497;1967
944;Tucet špinavců;81.7;7872;1967
945;Straight Outta Compton;81.8;7775;2015
946;Dívka v modrém;81.8;6620;1939
947;West Side Story;81.8;5024;1961
948;Hlas moře;81.8;4818;2004
949;Volavka;81.8;4229;2002
950;"Legenda o ""1900""";81.8;4197;1998
951;Šepot srdce;81.8;3282;1995
952;Třetí muž;81.9;2922;1949
953;Signum laudis;81.9;2893;1980
954;Hra na pláč;81.9;2793;1992
955;Milenci ze severního pólu;82.0;2456;1998
956;Onibaba;82.1;1618;1964
957;Vidíš měsíc, Danieli;82.1;1562;2019
958;Osud člověka;82.3;1311;1959
959;Příběh Marie;82.4;1148;2014
960;Na opuštěném místě;82.8;718;1950
961;Varieté;87.7;141;1925
962;O myších a lidech;88.3;128;1939
963;Skyfall;81.6;50634;2012
964;Ready Player One: Hra začíná;81.5;35567;2018
965;Muž na Měsíci;81.6;26460;1999
966;Kontakt;81.6;24619;1997
967;Lid versus Larry Flynt;81.5;24492;1996
968;Hodiny;81.6;19926;2002
969;Vymítač ďábla;81.5;18278;1973
970;Saturnin;81.6;17068;1994
971;Poslední souboj;81.6;14523;2021
972;Legendy z Dogtownu;81.5;14225;2005
973;Sudá a lichá;81.6;10814;1978
974;Tarzan;81.6;10469;1999
975;Vítězové a poražení;81.6;10319;1999
976;Hořký měsíc;81.6;7073;1992
977;Není král jako král;81.7;6144;2000
978;Kleopatra;81.7;5934;1963
979;Akira;81.6;5823;1988
980;Ten kluk;81.7;5463;2007
981;Golfový sen;81.7;4663;2005
982;Pytlákova schovanka aneb Šlechetný milionář;81.7;4353;1949
983;Hejtr;81.7;3798;2020
984;Dolores Claiborneová;81.8;2941;1995
985;Dealer III;81.9;2409;2005
986;V přístavu;81.9;2008;1954
987;Poslední představení;82.3;1136;1971
988;Strach jíst duše;82.6;795;1974
989;Výslech;83.7;394;1982
990;Lidský úděl 5.: Přeskočit smrt;85.9;194;1961
991;Hobit: Neočekávaná cesta;81.4;69249;2012
992;Deadpool;81.4;57106;2016
993;Duch;81.4;31762;1990
994;Předčítač;81.4;26807;2008
995;Coach Carter;81.4;15882;2005
996;Hrdina;81.5;15076;2002
997;Pokoj;81.4;13947;2015
998;Odpojit;81.5;11461;2012
999;Složka 64;81.5;10703;2018
1000;Král rybář;81.5;8102;1991
